"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Test that should fail - Klasters","Frontend Test Automation - KLASTERS","Thu Feb 06 16:08:42 GMT 2025","failed","Thu Feb 06 16:08:42 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","testThatShouldFail"
"","21966","Test that navigates to Google, dismisses the search engine prompt, performs a search, and verifies results.","Frontend Test Automation - KLASTERS","Thu Feb 06 16:08:19 GMT 2025","broken","Thu Feb 06 16:08:41 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","googleSearchTestInIncognito"
"","2","Test that should pass - Klasters","Frontend Test Automation - KLASTERS","Thu Feb 06 16:08:42 GMT 2025","passed","Thu Feb 06 16:08:42 GMT 2025","core.tests.experimental.KlastersTests","EXPERIMENTAL KLASTERS","core.tests.experimental.KlastersTests","testThatShouldPass"
